Time, Stove, Priority with Aging, SJF, First Come First Serve, Assistants, Remarks
1,empty ,adobo(cook=30)( Priority=3)( Place=0),none ,none ,none ,adobo is added to ready state for Priority with aging. Preheating stove. 
2,adobo(cook=30) ,none ,none ,none ,none ,Started Cooking adobo. 
3,adobo(cook=29) ,none ,none ,none ,none ,---
4,adobo(cook=28) ,none ,none ,none ,none ,---
5,adobo(cook=27) ,none ,none ,none ,tinola(prep=10) ,tinola is added to preparing. 
6,adobo(cook=26) ,none ,none ,none ,tinola(prep=9) ,---
7,adobo(cook=25) ,none ,none ,none ,tinola(prep=8) ,---
8,adobo(cook=24) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=7) ,karekare is added to ready state for Priority with aging. 
9,adobo(cook=23) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=6) ,---
10,adobo(cook=22) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=5) ,---
11,adobo(cook=21) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=4) ,---
12,adobo(cook=20) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=3) ,---
13,adobo(cook=19) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=2) ,---
14,adobo(cook=18) ,karekare(cook=20)( Priority=5)( Place=0),none ,none ,tinola(prep=1) ,---
15,adobo(cook=17) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,tinola is added to ready state for Shortest Job First. 
16,adobo(cook=16) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
17,adobo(cook=15) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
18,adobo(cook=14) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
19,adobo(cook=13) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
20,adobo(cook=12) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
21,adobo(cook=11) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
22,adobo(cook=10) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
23,adobo(cook=9) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
24,adobo(cook=8) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
25,adobo(cook=7) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
26,adobo(cook=6) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
27,adobo(cook=5) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
28,adobo(cook=4) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
29,adobo(cook=3) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
30,adobo(cook=2) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
31,adobo(cook=1) ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,---
32,empty ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,none ,adobo cooking ended. Cleaning stove. 
33,empty ,karekare(cook=20)( Priority=5)( Place=0),tinola(cook=10)( Priority=10) ,none ,adobo(prep=10) ,adobo is added to cooking state. Preheating stove. 
34,karekare(cook=20) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=9) ,Started Cooking karekare. 
35,karekare(cook=19) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=8) ,---
36,karekare(cook=18) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=7) ,---
37,karekare(cook=17) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=6) ,---
38,karekare(cook=16) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=5) ,---
39,karekare(cook=15) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=4) ,---
40,karekare(cook=14) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=3) ,---
41,karekare(cook=13) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=2) ,---
42,karekare(cook=12) ,none ,tinola(cook=10)( Priority=10) ,none ,adobo(prep=1) ,---
43,karekare(cook=11) ,none ,tinola(cook=10)( Priority=10) adobo(cook=30)( Priority=3) ,none ,none ,adobo is added to ready state for Shortest Job First. 
